"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Seneca Nation Health System","NY","Healthcare Provider","7633","09/06/2024","Hacking/IT Incident","Network Server","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","2334","09/05/2024","Hacking/IT Incident","Network Server","No",""
"Project Hospitality","NY","Healthcare Provider","1864","09/04/2024","Hacking/IT Incident","Network Server","No",""
"Premier Health Family Care – North and Premier Health Family Care of Vandalia","OH","Healthcare Provider","3092","09/03/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Service Access & Management, Inc.","PA","Healthcare Provider","501","09/02/2024","Hacking/IT Incident","Network Server","No",""
"EngageMED, Inc ","AR","Business Associate","500","08/30/2024","Hacking/IT Incident","Network Server","Yes",""
"Baptist Health Medical Center Drew County","AR","Healthcare Provider","5207","08/30/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Charities CYO of The Archdiocese of San Francisco","CA","Healthcare Provider","7168","08/30/2024","Hacking/IT Incident","Network Server","No",""
"Minnesota Department of Human Services","MN","Healthcare Provider","4329","08/30/2024","Hacking/IT Incident","Email","No",""
"Mount Carmel Behavioral Health ","OH","Healthcare Provider","500","08/30/2024","Hacking/IT Incident","Email","No",""
"CBIZ Benefits & Insurance Services, Inc.","OH","Business Associate","9103","08/28/2024","Hacking/IT Incident","Network Server","Yes",""
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC","RI","Healthcare Provider","9592","08/27/2024","Hacking/IT Incident","Network Server","No",""
"Blue Cross and Blue Shield of North Carolina","NC","Business Associate","972","08/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","4125","08/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Compass Healthcare & Rehab Rowan LLC","NC","Healthcare Provider","1381","08/26/2024","Hacking/IT Incident","Email","No",""
"Pomona Community Health Center dba ParkTree Community Health Center","CA","Healthcare Provider","40964","08/21/2024","Hacking/IT Incident","Network Server","No",""
"Excelsior Orthopaedics, LLC","NY","Healthcare Provider","292913","08/21/2024","Hacking/IT Incident","Network Server","No",""
"VeriSource Services, Inc.","TX","Business Associate","112726","08/20/2024","Hacking/IT Incident","Network Server","Yes",""
"Acadian Ambulance Service, Inc. ","LA","Healthcare Provider","2896985","08/20/2024","Hacking/IT Incident","Network Server","No",""
"Contents Trader, Inc.","TX","Healthcare Provider","27329","08/20/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Advanced Medical Management, LLC","KS","Healthcare Provider","2815","08/19/2024","Hacking/IT Incident","Email","No",""
"Mid-Columbia Center for Living","OR","Healthcare Provider","4435","08/19/2024","Hacking/IT Incident","Email","No",""
"Kerber, Eck & Braeckel LLP","IL","Business Associate","134918","08/16/2024","Hacking/IT Incident","Network Server","Yes",""
"Specialty Networks, Inc. ","TN","Business Associate","411037","08/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Carespring Health Care Management LLC","OH","Healthcare Provider","64609","08/15/2024","Hacking/IT Incident","Network Server","No",""
"siParadigm LLC","NJ","Healthcare Provider","501","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Turning Point of Central California, Inc.","CA","Healthcare Provider","500","08/09/2024","Hacking/IT Incident","Network Server","No",""
"HealthEquity, Inc.","UT","Business Associate","4300000","08/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Gramercy Surgery Center, Inc.","NY","Healthcare Provider","50554","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists","MN","Healthcare Provider","38442","08/09/2024","Hacking/IT Incident","Email","No",""
"PDG, P.A. dba Park Dental","MN","Healthcare Provider","238667","08/09/2024","Hacking/IT Incident","Email","No",""
"Pemiscot Memorial Health System","MO","Healthcare Provider","33279","08/09/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates","RI","Healthcare Provider","31835","08/07/2024","Hacking/IT Incident","Network Server","No",""
" Pocahontas Medical Clinic, PA","AR","Healthcare Provider","31216","08/06/2024","Hacking/IT Incident","Network Server","No",""
"Calibrated Healthcare, LLC","CA","Business Associate","6890","08/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Alabama Cardiovascular Group","AL","Healthcare Provider","280534","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Wayne Memorial Hospital","GA","Healthcare Provider","2500","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Fraser Child and Family Center ","MN","Healthcare Provider","64131","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Roseland Community Hospital Association","IL","Healthcare Provider","500","08/01/2024","Hacking/IT Incident","Network Server","No",""
"Frilot L.L.C.","LA","Business Associate","501","08/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Deer Oaks Behavioral Health ","TX","Healthcare Provider","171871","07/31/2024","Hacking/IT Incident","Network Server","No",""
"Special Health Resources of Texas, Inc.","TX","Healthcare Provider","500","07/30/2024","Hacking/IT Incident","Network Server","No",""
"Delta County Memorial Hospital District (Delta Health)","CO","Healthcare Provider","148363","07/29/2024","Hacking/IT Incident","Network Server","No",""
"United of Omaha Life Insurance Company","NE","Health Plan","107894","07/26/2024","Hacking/IT Incident","Email","No",""
"University of Alabama at Birmingham School of Nursing","AL","Healthcare Provider","1655","07/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"South Western Communications, Inc.","IN","Health Plan","1115","07/26/2024","Hacking/IT Incident","Network Server","No",""
"Surgery Center of Mid Florida","FL","Healthcare Provider","48684","07/24/2024","Hacking/IT Incident","Network Server","No",""
"Sutton Dental Arts","OR","Healthcare Provider","4109","07/22/2024","Hacking/IT Incident","Network Server","No",""
"EMS Department for the Kansas City, Kansas Fire Department   ","KS","Healthcare Provider","501","07/20/2024","Hacking/IT Incident","Network Server","No",""
"Barrett Eye Care","IN","Healthcare Provider","4318","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Sun City Pediatrics, PA","TX","Healthcare Provider","4500","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Community Counseling of Bristol County, Inc.","MA","Healthcare Provider","44991","07/19/2024","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","56953","07/19/2024","Hacking/IT Incident","Email","No",""
"Change Healthcare, Inc.","MN","Business Associate","190000000","07/19/2024","Hacking/IT Incident","Network Server","Yes",""
"Imagine360, LLC","PA","Business Associate","6926","07/17/2024","Unauthorized Access/Disclosure","Email","Yes",""
"Hospital Auxilio Mutuo ","","Healthcare Provider","500","07/13/2024","Hacking/IT Incident","Network Server","No",""
"Fairfax Radiological Consultants ","VA","Healthcare Provider","3512","07/12/2024","Hacking/IT Incident","Network Server","No",""
"Johnson & Associates, Inc.","MT","Business Associate","4600","07/10/2024","Hacking/IT Incident","Other","Yes",""
"Meridian Internal Medicine, P.A.","NC","Healthcare Provider","2656","07/10/2024","Hacking/IT Incident","Network Server","No",""
"Smith, Gambrell & Russell LLP","GA","Business Associate","3370","07/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Butler Health Plan, SW Division of OHI","OH","Health Plan","5911","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"School Employees' Benefit Trust","IN","Health Plan","1371","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Palomar Health Medical Group","CA","Healthcare Provider","501","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Ascension Health","MO","Healthcare Provider","5466931","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Patented Acquisition Corporation","OH","Business Associate","12787","07/03/2024","Hacking/IT Incident","Network Server","Yes",""
"DaVita Inc.","CO","Healthcare Provider","67443","07/03/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Atlanta Perinatal Consultants, LLP","GA","Healthcare Provider","1508","07/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Regional Obstetrical Consultants PC","TN","Healthcare Provider","25650","07/02/2024","Hacking/IT Incident","Network Server","No",""
"Core Dental Health","TN","Healthcare Provider","2349","07/01/2024","Hacking/IT Incident","Email, Network Server","No",""
"Georgia Kidney Associates, Inc.","GA","Healthcare Provider","9940","06/28/2024","Theft","Other","No",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider","775860","06/27/2024","Hacking/IT Incident","Network Server","No",""
"Mayfield Dental Arts LLC","OH","Healthcare Provider","3318","06/26/2024","Theft","Laptop","No",""
"Providence Mission Heritage Endocrinology","CA","Healthcare Provider","2000","06/26/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Kairos Health Arizona, Inc.","AZ","Business Associate","14364","06/26/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Geisinger","PA","Healthcare Provider","1276026","06/21/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Altoona Logan Township Mobile Medical Emergency Department Authority","PA","Healthcare Provider","6169","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Texas Retina Associates","TX","Healthcare Provider","312867","06/21/2024","Hacking/IT Incident","Network Server","No",""
"The Lash Group, LLC","PA","Business Associate","15196","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Wisconsin Department of Health Services ","WI","Healthcare Provider","19150","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Carroll County Memorial Hospital","MO","Healthcare Provider","7021","06/18/2024","Hacking/IT Incident","Email","No",""
"Radiology and Imaging Specialists","FL","Healthcare Provider","37210","06/17/2024","Hacking/IT Incident","Email","No",""
"Neurobehavioral Medicine Consultants, P.C.","OH","Healthcare Provider","18182","06/14/2024","Hacking/IT Incident","Network Server","No",""
"Walmart Inc.","AR","Healthcare Provider","1267","06/14/2024","Unauthorized Access/Disclosure","Network Server","No",""
"IBEW LOCAL 236 WELFARE FUND","CT","Health Plan","3217","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND","PA","Health Plan","1061","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"ASBESTOS WORKERS LOCAL 42 WELFARE PLAN","GA","Health Plan","520","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Signature Performance, Inc.","NE","Business Associate","106540","06/10/2024","Hacking/IT Incident","Network Server","Yes",""
"CRG Lynwood, LLC, d/b/a Lynwood Manor ","MI","Healthcare Provider","6566","06/10/2024","Hacking/IT Incident","Network Server","No",""
"Community Alliance Rehabilitation Services","NE","Healthcare Provider","10750","06/07/2024","Hacking/IT Incident","Network Server","No",""
"Best Health Physical Therapy, LLC        ","CT","Healthcare Provider","3764","06/06/2024","Hacking/IT Incident","Network Server, Other","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","15003","06/05/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Panorama Eyecare","CO","Healthcare Provider","377911","06/05/2024","Hacking/IT Incident","Network Server","No",""
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan","NM","Health Plan","1867","06/04/2024","Hacking/IT Incident","Network Server","No",""
"Woodfords Family Services ","ME","Healthcare Provider","500","06/03/2024","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"Mending Minds LLC dba Walnut Creek Psychiatry","IA","Healthcare Provider","733","06/01/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Easterseals Central Illinois","IL","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Network Server","No",""
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","3102","05/31/2024","Hacking/IT Incident","Network Server","No",""
"FC Compassus, LLC ","TN","Healthcare Provider","1383","05/31/2024","Hacking/IT Incident","Email","No",""
"Montefiore Einstein Advance Care","NY","Healthcare Provider","2356","05/24/2024","Hacking/IT Incident","Network Server","No",""
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","252214","05/24/2024","Hacking/IT Incident","Network Server","No",""
"A&A Services d/b/a Sav-Rx","NE","Business Associate","2812336","05/24/2024","Hacking/IT Incident","Network Server","Yes",""
"City of St. Cloud","FL","Health Plan","2273","05/24/2024","Hacking/IT Incident","Network Server","No",""
"Tri-City Healthcare District","CA","Healthcare Provider","108149","05/23/2024","Hacking/IT Incident","Network Server","No",""
"Trionfo Solutions, LLC","IL","Business Associate","81588","05/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Multnomah County Health Department","OR","Healthcare Provider","1092","05/20/2024","Unauthorized Access/Disclosure","Laptop","No",""
"Omni Healthcare Financial Holdings","NC","Business Associate","16852","05/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Gastroenterology Associates of Central Florida, P.A./ Center for Digestive Health","FL","Healthcare Provider","121693","05/17/2024","Hacking/IT Incident","Network Server","No",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","400000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center","TX","Healthcare Provider","80000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Brockton Area Multi Services, Inc.","MA","Healthcare Provider","21537","05/16/2024","Hacking/IT Incident","Network Server","No",""
"Pope & Conner Consulting, Inc.","WI","Business Associate","1035","05/15/2024","Hacking/IT Incident","Email","Yes",""
"Hypertension-Nephrology Associates, P.C. ","PA","Healthcare Provider","39491","05/14/2024","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Superior Air-Ground Ambulance Service, Inc. ","IL","Healthcare Provider","858238","05/10/2024","Hacking/IT Incident","Network Server","No",""
"Texas Panhandle Centers","TX","Healthcare Provider","16394","05/09/2024","Hacking/IT Incident","Network Server","No",""
"WebTPA Employer Services, LLC (“WebTPA”)","TX","Business Associate","2518533","05/08/2024","Hacking/IT Incident","Network Server","Yes",""
"1st Choice Home Care","AR","Healthcare Provider","2700","05/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Winter Haven Hospital","FL","Healthcare Provider","2101","05/08/2024","Unauthorized Access/Disclosure","Email","No",""
"Watson Clinic","FL","Healthcare Provider","280278","05/08/2024","Hacking/IT Incident","Network Server","No",""
"Kenneth Young Center","IL","Healthcare Provider","6842","05/06/2024","Hacking/IT Incident","Network Server","No",""
"Grayson & Associates","AL","Healthcare Provider","573","05/03/2024","Hacking/IT Incident","Desktop Computer","No",""
"Medical Express Ambulance Inc.  D/B/A Medex Ambulance","IL","Healthcare Provider","121190","05/02/2024","Hacking/IT Incident","Network Server","No",""
"United Seating and Mobility, L.L.C., d/b/a Numotion","TN","Healthcare Provider","602265","05/01/2024","Hacking/IT Incident","Network Server","No",""
"UnitedHealthcare Insurance Company","CT","Business Associate","16665","05/01/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"AMERICAN RENAL MANAGEMENT","TN","Business Associate","501","04/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Signature Healthcare Services LLC","CA","Business Associate","14696","04/27/2024","Hacking/IT Incident","Network Server","Yes",""
"LivaNova USA, Inc.","TX","Business Associate","180000","04/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Forefront Dermatology, S.C. d/b/a Premier Dermatology","IL","Healthcare Provider","2297","04/26/2024","Hacking/IT Incident","Email","No",""
"Justice Resource Institute","MA","Healthcare Provider","23118","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Empath-Stratum Inc. doing business as  Empath Health","FL","Healthcare Provider","5545","04/25/2024","Hacking/IT Incident","Email","No",""
"Therapeutic Health Services ","WA","Healthcare Provider","501","04/25/2024","Hacking/IT Incident","Network Server","No",""
"Kootenai Health","ID","Healthcare Provider","464088","04/24/2024","Hacking/IT Incident","Network Server","No",""
"Medical Billing Specialists, Inc.","MA","Business Associate","43673","04/24/2024","Hacking/IT Incident","Network Server","Yes",""
"NorthBay Healthcare Corporation","CA","Healthcare Provider","569012","04/23/2024","Hacking/IT Incident","Network Server","No",""
"The Prudential Insurance Company of America","NJ","Health Plan","36092","04/22/2024","Hacking/IT Incident","Network Server","No",""
"South Texas Oncology and Hematology, PLLC","TX","Healthcare Provider","175195","04/19/2024","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Cumberland Heights Foundation, Inc. ","TN","Healthcare Provider","5078","04/19/2024","Hacking/IT Incident","Email","No",""
"Bridgeway Center, Inc.","FL","Healthcare Provider","36353","04/19/2024","Hacking/IT Incident","Network Server","No",""
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider","2282","04/17/2024","Hacking/IT Incident","Email","No",""
"Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine","ID","Healthcare Provider","5000","04/17/2024","Hacking/IT Incident","Network Server","No",""
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan","13400000","04/12/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Rebound Orthopedics & Neurosurgery","WA","Healthcare Provider","500","04/10/2024","Hacking/IT Incident","Network Server","No",""
"Knowles Smith & Associates, d/b/a Village Family Dental ","NC","Healthcare Provider","240214","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Group Health Cooperative of South Central Wisconsin","WI","Health Plan","533809","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Island Ambulatory Surgery Center, LLC ","NY","Healthcare Provider","7900","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Sleep Management Institute","OH","Healthcare Provider","500","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Gaia Software, LLC","CO","Business Associate","56676","04/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Jackson Medical Center, LLC","AL","Healthcare Provider","509","04/05/2024","Hacking/IT Incident","Network Server","No",""
"UNC Hospitals","NC","Healthcare Provider","3142","04/02/2024","Hacking/IT Incident","Email","No",""
"Continuum Health Alliance, LLC","NJ","Business Associate","1328","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Rutgers Robert Wood Johnson Medical School","NJ","Healthcare Provider","543","04/01/2024","Unauthorized Access/Disclosure","Email","No",""
"University of Tennessee Health Science Center","TN","Healthcare Provider","19353","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Otolaryngology Associates, LLC","IN","Healthcare Provider","316802","04/01/2024","Hacking/IT Incident","Network Server","No",""
"Northern Virginia Oral, Maxillofacial & Implant Surgery ","VA","Healthcare Provider","4333","03/29/2024","Hacking/IT Incident","Network Server","No",""
"PRATT MRI LLC","KS","Business Associate","4265","03/29/2024","Loss","Other Portable Electronic Device","Yes",""
"Delta Health System","MS","Healthcare Provider","216532","03/29/2024","Hacking/IT Incident","Network Server","No",""
"Florida Pediatric Associates, LLC ","FL","Healthcare Provider","1104","03/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Strive Holdco, LLC","TX","Healthcare Provider","51477","03/28/2024","Unauthorized Access/Disclosure","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","2045","03/27/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Washington County Department of Human Services","PA","Healthcare Provider","13583","03/26/2024","Hacking/IT Incident","Network Server","No",""
"Pembina County Memorial Hospital","ND","Healthcare Provider","23811","03/25/2024","Hacking/IT Incident","Network Server","No",""
"Family Health Center ","MI","Healthcare Provider","33240","03/24/2024","Hacking/IT Incident","Network Server","No",""
"Mary H. Makhlouf, DMD, MS, PA","NC","Healthcare Provider","1797","03/22/2024","Hacking/IT Incident","Network Server","No",""
"M&D Capital Premier Billing LLC","NY","Business Associate","284326","03/21/2024","Hacking/IT Incident","Network Server","Yes",""
"City of Conneaut","OH","Healthcare Provider","771","03/21/2024","Hacking/IT Incident","Email","No",""
"Ezras Choilim Health Center, Inc.","NY","Healthcare Provider","59861","03/19/2024","Hacking/IT Incident","Network Server","No",""
"Sycamore Rehabilitation Services, Inc.","IN","Healthcare Provider","3414","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Bronson Healthcare Group","MI","Healthcare Provider","1597","03/13/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"A5 PHARMACY INC.","NY","Healthcare Provider","3000","03/13/2024","Hacking/IT Incident","Network Server","No",""
"Lindsay Municipal Hospital","OK","Healthcare Provider","500","03/13/2024","Hacking/IT Incident","Network Server","No",""
"CCM Health","MN","Healthcare Provider","84329","03/12/2024","Hacking/IT Incident","Network Server","No",""
"R1 RCM Inc.","IL","Business Associate","16121","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Texas Health and Human Services ","TX","Health Plan","3392","03/11/2024","Unauthorized Access/Disclosure","Email","No",""
"Rancho Family Medical Group, Inc.","CA","Healthcare Provider","10480","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Access TeleCare","TX","Healthcare Provider","62669","03/08/2024","Hacking/IT Incident","Email","No",""
"Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider","1433","03/08/2024","Hacking/IT Incident","Email","No",""
"Dental Group of Amarillo","TX","Healthcare Provider","3821","03/06/2024","Hacking/IT Incident","Network Server","No",""
"Seaglass Chiropractic","NJ","Healthcare Provider","650","03/06/2024","Theft","Laptop, Other Portable Electronic Device","No",""
"Vail Summit Orthopaedics, LLC (“VSON”)","CO","Healthcare Provider","1138","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Highland Health Systems","AL","Healthcare Provider","83543","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Ada Technologies, Inc. ","OH","Health Plan","2398","02/29/2024","Hacking/IT Incident","Network Server","No",""
"kmj Health Solutions","MI","Business Associate","2191","02/28/2024","Hacking/IT Incident","Network Server","Yes",""
"UNITE HERE ","NY","Business Associate","791273","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"OrthopedicsNY, LLP","NY","Healthcare Provider","656086","02/23/2024","Hacking/IT Incident","Network Server","No",""
"Prague Regional Memorial Hospital ","OK","Healthcare Provider","1347","02/22/2024","Hacking/IT Incident","Email","No",""
"interventional Pain and Regenerative Medicine","TX","Healthcare Provider","2843","02/21/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Hospice of Huntington","WV","Healthcare Provider","9013","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider","75667","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Amin Radiology d/b/a Citrus Diagnostic Center ","FL","Healthcare Provider","1273","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Lena Pope Home Inc.","TX","Healthcare Provider","3954","02/15/2024","Hacking/IT Incident","Email","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","3480","02/14/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider","1096","02/14/2024","Hacking/IT Incident","Network Server","No",""
"Biomatrix Specialty Pharmacy, LLC ","FL","Healthcare Provider","3640","02/13/2024","Hacking/IT Incident","Network Server","No",""
"Lexington Health, Inc.","SC","Healthcare Provider","1994","02/12/2024","Hacking/IT Incident","Email, Other","No",""
"Tiegerman","NY","Healthcare Provider","19000","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","9078","02/08/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Bradford Health Services, LLC ","AL","Healthcare Provider","28543","02/06/2024","Hacking/IT Incident","Network Server","No",""
"Spectrum Vision Partners","NY","Business Associate","500","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"East Side Health District","IL","Healthcare Provider","559","02/02/2024","Hacking/IT Incident","Network Server","No",""
"Bloom Health Centers","MD","Healthcare Provider","1954","02/01/2024","Hacking/IT Incident","Email","No",""
"Capital Health System, Inc.","NJ","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Network Server","No",""
"Crescent Community Health Center","IA","Healthcare Provider","20529","01/31/2024","Hacking/IT Incident","Email","No",""
"CNO ACE","IN","Health Plan","65295","01/26/2024","Hacking/IT Incident","Network Server","No",""
"INTEGRIS Health","OK","Healthcare Provider","2385646","01/26/2024","Hacking/IT Incident","Network Server","No",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Business Associate","55055","01/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Coastal Hospice & Palliative Care","MD","Healthcare Provider","29100","01/22/2024","Hacking/IT Incident","Network Server","No",""
"AHS Management Company, Inc.","TN","Business Associate","23686","01/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Healthcare Provider","307864","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Omaha Firefighters Healthcare Trust ","NE","Health Plan","3567","01/20/2024","Hacking/IT Incident","Email","No",""
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ","MA","Healthcare Provider","846","01/18/2024","Hacking/IT Incident","Email","No",""
"Dickinson County Health Department","KS","Healthcare Provider","1063","01/17/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"HORNE, LLP","MS","Business Associate","170052","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Azura Vascular Care","PA","Business Associate","348000","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Covenant Care California, LLC ","CA","Healthcare Provider","501","01/12/2024","Hacking/IT Incident","Network Server","No",""
"Family Healthcare Center","ND","Healthcare Provider","6457","01/11/2024","Hacking/IT Incident","Network Server","Yes",""
"InHealth Technologies","CA","Healthcare Provider","12143","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Concentra Health Services, Inc.","TX","Healthcare Provider","3998163","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Psychological Holdings, PLLC d/b/a Senior PsychCare","TX","Healthcare Provider","75349","01/08/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Heath Initiative Trinity Medical Center","OH","Healthcare Provider","797","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Daleville Dental II LLC","AL","Healthcare Provider","500","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Cooper Clinic, P.A. ","TX","Healthcare Provider","124341","01/05/2024","Hacking/IT Incident","Network Server","No",""
"ConsensioHealth, LLC","WI","Business Associate","60871","01/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Amerigroup Iowa, Inc","IN","Business Associate","1023","01/03/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Electrostim Medical Services, Inc. d/b/A EMSI","FL","Healthcare Provider","542990","12/28/2023","Hacking/IT Incident","Network Server","No",""
"Kent County Community Mental Health Authority d/b/a Network180 ","MI","Healthcare Provider","59334","12/22/2023","Hacking/IT Incident","Email","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","1840927","12/22/2023","Hacking/IT Incident","Network Server","No",""
"First Choice Dental","WI","Healthcare Provider","1000","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Plaza Radiology, LLC","TN","Healthcare Provider","569022","12/20/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Marathon County Special Education","WI","Healthcare Provider","10079","12/20/2023","Hacking/IT Incident","Email","No",""
"ESO Solutions, Inc. ","TX","Business Associate","2700000","12/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Dallas County","TX","Healthcare Provider","501","12/18/2023","Hacking/IT Incident","Network Server","No",""
"Primary Health & Wellness Center, LLC ","MD","Healthcare Provider","4792","12/17/2023","Hacking/IT Incident","Network Server","No",""
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider","6351","12/16/2023","Hacking/IT Incident","Email","No",""
"D'Youville Life and Wellness Community, Inc.","MA","Healthcare Provider","19691","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Heart of Texas Behavioral Health Network ","TX","Healthcare Provider","63776","12/12/2023","Hacking/IT Incident","Network Server","No",""
