Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
Smart Practice,,10/13/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,10/13/2017,,,Massachusetts,Unknown,Unknown,
"Transamerica, incl. Transamerica
Life Insurance Company and
Transamerica Retirement
Solutions, LLC",,10/13/2017,,,Massachusetts,Unknown,Unknown,
Citibank NA,,10/16/2017,,,Massachusetts,Unknown,Unknown,
Santander,,10/16/2017,,,Massachusetts,Unknown,Unknown,
Rockand Trust Company,,10/16/2017,,,Massachusetts,Unknown,Unknown,
Salem Five,,10/16/2017,,,Massachusetts,Unknown,Unknown,
"Pizza Hut, LLC",,10/16/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,10/16/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,10/16/2017,,,Massachusetts,Unknown,Unknown,
Elderplan Inc.,,10/16/2017,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,10/16/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,10/16/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,10/16/2017,,,Massachusetts,Unknown,Unknown,
"Sports Medicine & Rehabilitation
Therapy Inc",,10/16/2017,,,Massachusetts,Unknown,Unknown,
New Mexico Mutual,,10/17/2017,,,Massachusetts,Unknown,Unknown,
Intuit,,10/17/2017,,,Massachusetts,Unknown,Unknown,
Southcoast Health,,10/17/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,10/18/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,10/18/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,10/18/2017,,,Massachusetts,Unknown,Unknown,
Simmons College,,10/18/2017,,,Massachusetts,Unknown,Unknown,
College of the Holy Cross,,10/19/2017,,,Massachusetts,Unknown,Unknown,
"Lighthouse Management
Services LLC",,10/20/2017,,,Massachusetts,Unknown,Unknown,
BMT Designers and Planners Inc.,,10/20/2017,,,Massachusetts,Unknown,Unknown,
Universal Nutrition,,10/23/2017,,,Massachusetts,Unknown,Unknown,
Colonial Co-operative Bank,,10/24/2017,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,10/24/2017,,,Massachusetts,Unknown,Unknown,
Citigroup,,10/24/2017,,,Massachusetts,Unknown,Unknown,
Santander,,10/24/2017,,,Massachusetts,Unknown,Unknown,
Discover,,10/24/2017,,,Massachusetts,Unknown,Unknown,
"Advisory Research, Inc.",,10/24/2017,,,Massachusetts,Unknown,Unknown,
Quest Diagnostics,,10/24/2017,,,Massachusetts,Unknown,Unknown,
"United States Cellular
Corporation",,10/24/2017,,,Massachusetts,Unknown,Unknown,
"East Boston Neighborhood
Health Center",,10/24/2017,,,Massachusetts,Unknown,Unknown,
"The Catholic Community of St.
Matthias",,10/25/2017,,,Massachusetts,Unknown,Unknown,
Citizens Financial Group,,10/25/2017,,,Massachusetts,Unknown,Unknown,
Nantucket Bank,,10/25/2017,,,Massachusetts,Unknown,Unknown,
Memory4Less,,10/25/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company",,10/26/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,10/26/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,10/26/2017,,,Massachusetts,Unknown,Unknown,
"Chiorini, Hunt & Jacobs",,10/26/2017,,,Massachusetts,Unknown,Unknown,
"Quad/Graphics, Inc.",,10/26/2017,,,Massachusetts,Unknown,Unknown,
St. Marys Credit Union,,10/27/2017,,,Massachusetts,Unknown,Unknown,
"Amercian Express Travel Related
Services Company Inc.",,10/27/2017,,,Massachusetts,Unknown,Unknown,
"CCI Holdings, Inc. d/b/a Coin
Café",,10/27/2017,,,Massachusetts,Unknown,Unknown,
"UMass Memorial Community
Healthlink",,10/27/2017,,,Massachusetts,Unknown,Unknown,
Salem Five,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Salem Five,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Interstate Plastics Inc.,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Far Niente Winery,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,10/27/2017,,,Massachusetts,Unknown,Unknown,
Town of West Stockbridge,,10/27/2017,,,Massachusetts,Unknown,Unknown,
"Workfront, Inc.",,10/27/2017,,,Massachusetts,Unknown,Unknown,
"Home Box Office, Inc.",,10/30/2017,,,Massachusetts,Unknown,Unknown,
Taiyo Pacific Partners LLP,,10/30/2017,,,Massachusetts,Unknown,Unknown,
Shop-Rite Supermarkets Inc.,,10/30/2017,,,Massachusetts,Unknown,Unknown,
Savers Bank,,10/31/2017,,,Massachusetts,Unknown,Unknown,
Toyota Financial Services,,10/31/2017,,,Massachusetts,Unknown,Unknown,
Wintrust Mortgage,,10/31/2017,,,Massachusetts,Unknown,Unknown,
"GlaxoSmithKline LLC and
GlaxoSmith Kline Patient
Assistant Foundation",,10/31/2017,,,Massachusetts,Unknown,Unknown,
Human Good,,10/31/2017,,,Massachusetts,Unknown,Unknown,
"Southern National Bancorp of
Virginia Inc. d/b/a Sonabank",,10/31/2017,,,Massachusetts,Unknown,Unknown,
eInvite.com,,10/31/2017,,,Massachusetts,Unknown,Unknown,
"Bina Jangda, L. Ac",,11/1/2017,,,Massachusetts,Unknown,Unknown,
"Norman Noble, Inc.",,11/1/2017,,,Massachusetts,Unknown,Unknown,
Alpha Industries Inc.,,11/1/2017,,,Massachusetts,Unknown,Unknown,
DuPage Senior Citizens Council,,11/2/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,11/3/2017,,,Massachusetts,Unknown,Unknown,
North American Tile Company,,11/3/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,11/3/2017,,,Massachusetts,Unknown,Unknown,
Oxford Corporate,,11/3/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,11/3/2017,,,Massachusetts,Unknown,Unknown,
Tween Brands Inc.,,11/3/2017,,,Massachusetts,Unknown,Unknown,
Rain Bird Corporation,,11/6/2017,,,Massachusetts,Unknown,Unknown,
Natick Green Condominium Trust,,11/6/2017,,,Massachusetts,Unknown,Unknown,
Equity Resources Inc.,,11/6/2017,,,Massachusetts,Unknown,Unknown,
AXA US,,11/6/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,11/6/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,11/7/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,11/7/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,11/7/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,11/7/2017,,,Massachusetts,Unknown,Unknown,
"Little River Healthcare-Central
Texas LLC d/b/a Little River
Waco Ear, Nose and Throat",,11/7/2017,,,Massachusetts,Unknown,Unknown,
"Hallmark Health Systems, Inc.",,11/8/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,11/8/2017,,,Massachusetts,Unknown,Unknown,
Missions Door,,11/8/2017,,,Massachusetts,Unknown,Unknown,
InTouch Credit Union,,11/8/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,11/9/2017,,,Massachusetts,Unknown,Unknown,
City of Holly Springs,,11/10/2017,,,Massachusetts,Unknown,Unknown,
Norwood Hospital,,11/10/2017,,,Massachusetts,Unknown,Unknown,
Sterling Services,,11/10/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,11/13/2017,,,Massachusetts,Unknown,Unknown,
Scott & Guilfoyle CPAs LLP,,11/13/2017,,,Massachusetts,Unknown,Unknown,
Gallagher NAC,,11/13/2017,,,Massachusetts,Unknown,Unknown,
HNI Corporation,,11/13/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company, Inc. and/or its
Affiliates (""AXP"")",,11/13/2017,,,Massachusetts,Unknown,Unknown,
Savers Bank,,11/14/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,11/14/2017,,,Massachusetts,Unknown,Unknown,
ABM Industries Incorporated,,11/14/2017,,,Massachusetts,Unknown,Unknown,
"Beth Israel Deaconess Hospital-
Needham",,11/15/2017,,,Massachusetts,Unknown,Unknown,
Tip Tap Room,,11/15/2017,,,Massachusetts,Unknown,Unknown,
"First Citizens' Federal Credit
Union",,11/15/2017,,,Massachusetts,Unknown,Unknown,
Ridge Federal Credit Union,,11/15/2017,,,Massachusetts,Unknown,Unknown,
SallieMae,,11/16/2017,,,Massachusetts,Unknown,Unknown,
Bay State Savings Bank,,11/16/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,11/16/2017,,,Massachusetts,Unknown,Unknown,
Southcoast Health,,11/16/2017,,,Massachusetts,Unknown,Unknown,
"Commonwealth of MA Executive
Office of Labor and Workforce
Dpt. of Unemployment
Assistance",,11/16/2017,,,Massachusetts,Unknown,Unknown,
Santander Bank,,11/17/2017,,,Massachusetts,Unknown,Unknown,
Santander Bank,,11/17/2017,,,Massachusetts,Unknown,Unknown,
Santander Bank,,11/17/2017,,,Massachusetts,Unknown,Unknown,
"The North Shore Physician's
Group",,11/17/2017,,,Massachusetts,Unknown,Unknown,
Salem Five,,11/17/2017,,,Massachusetts,Unknown,Unknown,
Schachter Harris LLP,,11/20/2017,,,Massachusetts,Unknown,Unknown,
"Roman Catholic Archdiocese of
Boston",,11/20/2017,,,Massachusetts,Unknown,Unknown,
The Whitehall Hotel,,11/20/2017,,,Massachusetts,Unknown,Unknown,
Academy of Art University,,11/20/2017,,,Massachusetts,Unknown,Unknown,
Brigham and Women's Hospital,,11/20/2017,,,Massachusetts,Unknown,Unknown,
Baylor College of Medicine,,11/20/2017,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/20/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,11/20/2017,,,Massachusetts,Unknown,Unknown,
Citizen's Financial Group,,11/20/2017,,,Massachusetts,Unknown,Unknown,
LPL Financial LLC,,11/20/2017,,,Massachusetts,Unknown,Unknown,
Discover,,11/21/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,11/21/2017,,,Massachusetts,Unknown,Unknown,
Winchester Bank,,11/21/2017,,,Massachusetts,Unknown,Unknown,
"USA Hoist Company, Inc. Mid-
American Elevator Company,
Inc.& Mid-American Elevator
Equipment Co. Inc",,11/21/2017,,,Massachusetts,Unknown,Unknown,
Crate & Barrel,,11/22/2017,,,Massachusetts,Unknown,Unknown,
Securian Financial Group,,11/22/2017,,,Massachusetts,Unknown,Unknown,
Crate & Barrel,,11/22/2017,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,11/24/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,11/24/2017,,,Massachusetts,Unknown,Unknown,
The Asgard,,11/27/2017,,,Massachusetts,Unknown,Unknown,
"Bulletproof 360, Inc.",,11/27/2017,,,Massachusetts,Unknown,Unknown,
JRK Hotel Group,,11/27/2017,,,Massachusetts,Unknown,Unknown,
"Uber Technologies, Inc.",,11/28/2017,,,Massachusetts,Unknown,Unknown,
"Northeast Rehabilitation Hospital
Network",,11/28/2017,,,Massachusetts,Unknown,Unknown,
Roger Williams Medical Center,,11/28/2017,,,Massachusetts,Unknown,Unknown,
"Pulmonary Specialists of
Louisville, PSC",,11/28/2017,,,Massachusetts,Unknown,Unknown,
Randolph Savings Bank,,11/28/2017,,,Massachusetts,Unknown,Unknown,
"Lincoln National Life Insurance
Company",,11/29/2017,,,Massachusetts,Unknown,Unknown,
"Combat Brands, LLC",,11/29/2017,,,Massachusetts,Unknown,Unknown,
YMCA of Central Florida,,11/29/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,11/30/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company, Inc.",,11/30/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,11/30/2017,,,Massachusetts,Unknown,Unknown,
"CCRM Minneaplois, P.C.",,12/1/2017,,,Massachusetts,Unknown,Unknown,
"Property Management Business
Solutions, LLC",,12/1/2017,,,Massachusetts,Unknown,Unknown,
"Teach For America, Inc.",,12/1/2017,,,Massachusetts,Unknown,Unknown,
"The Variable Annuity Life
Insurance Company",,12/1/2017,,,Massachusetts,Unknown,Unknown,
Santander,,12/1/2017,,,Massachusetts,Unknown,Unknown,
JAM Paper & Envelope,,12/1/2017,,,Massachusetts,Unknown,Unknown,
"IdeaStream Consumer Products
LLC",,12/4/2017,,,Massachusetts,Unknown,Unknown,
This Works Products Ltd.,,12/4/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,12/4/2017,,,Massachusetts,Unknown,Unknown,
"Hayden, Narey & Persich",,12/4/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,12/4/2017,,,Massachusetts,Unknown,Unknown,
Watertown Savings Bank,,12/4/2017,,,Massachusetts,Unknown,Unknown,
Aqua-Aston Hospitality LLC,,12/5/2017,,,Massachusetts,Unknown,Unknown,
"Grass Advantage LLC dba
Amazing Grass",,12/5/2017,,,Massachusetts,Unknown,Unknown,
Bank of America,,12/5/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,12/5/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,12/6/2017,,,Massachusetts,Unknown,Unknown,
The Horton Group Inc.,,12/6/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,12/6/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,12/6/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,12/6/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,12/6/2017,,,Massachusetts,Unknown,Unknown,
"Massachusetts Educational:
Financing Authority",,12/7/2017,,,Massachusetts,Unknown,Unknown,
Golden Rule Insurance Company,,12/7/2017,,,Massachusetts,Unknown,Unknown,
"Bennington-Rutland Supervisory
Union",,12/7/2017,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/7/2017,,,Massachusetts,Unknown,Unknown,
Columbus Surgery Center LLC,,12/7/2017,,,Massachusetts,Unknown,Unknown,
Eye Physicians PC,,12/7/2017,,,Massachusetts,Unknown,Unknown,
Monson Savings Bank,,12/8/2017,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/8/2017,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,12/8/2017,,,Massachusetts,Unknown,Unknown,
WEI Mortgage LLC,,12/8/2017,,,Massachusetts,Unknown,Unknown,
"University of California Santa
Cruz",,12/8/2017,,,Massachusetts,Unknown,Unknown,
Quantel Inc.,,12/11/2017,,,Massachusetts,Unknown,Unknown,
"Snell Advanced Media, Ltd.",,12/11/2017,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
Belmont Savings Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
"The Leona M. and Harry B.
Helmsley Charitable Trust",,12/11/2017,,,Massachusetts,Unknown,Unknown,
"Capital One, National Association",,12/11/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/11/2017,,,Massachusetts,Unknown,Unknown,
Aetna,,12/12/2017,,,Massachusetts,Unknown,Unknown,
"Wells Fargo Bank, NA",,12/12/2017,,,Massachusetts,Unknown,Unknown,
John Hancock Life Insurance,,12/12/2017,,,Massachusetts,Unknown,Unknown,
U-Haul Co. of California,,12/12/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,12/13/2017,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/13/2017,,,Massachusetts,Unknown,Unknown,
Umass Memorial,,12/13/2017,,,Massachusetts,Unknown,Unknown,
Shamrock Financial Corporation,,12/13/2017,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,12/13/2017,,,Massachusetts,Unknown,Unknown,
IH Missisippi Valley Credit Union,,12/13/2017,,,Massachusetts,Unknown,Unknown,
Securian Financial Group,,12/14/2017,,,Massachusetts,Unknown,Unknown,
Tremco Inc.,,12/14/2017,,,Massachusetts,Unknown,Unknown,
"The Massachusetts Securities
Division",,12/14/2017,,,Massachusetts,Unknown,Unknown,
Charles Schwab,,12/15/2017,,,Massachusetts,Unknown,Unknown,
Charles Schwab,,12/15/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,12/15/2017,,,Massachusetts,Unknown,Unknown,
"KeyBank N.A,",,12/15/2017,,,Massachusetts,Unknown,Unknown,
New Penn Financial LLC,,12/15/2017,,,Massachusetts,Unknown,Unknown,
Charles Schwab,,12/18/2017,,,Massachusetts,Unknown,Unknown,
Charles Schwab,,12/18/2017,,,Massachusetts,Unknown,Unknown,
Seterus Inc.,,12/18/2017,,,Massachusetts,Unknown,Unknown,
Technium,,12/18/2017,,,Massachusetts,Unknown,Unknown,
"Connecticut Players Foundation,
Inc. dba Long Wharf Theatre",,12/18/2017,,,Massachusetts,Unknown,Unknown,
Michael Saunders & Company,,12/18/2017,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA Dept.
of Revenue",,12/18/2017,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA Dept.
of Revenue",,12/18/2017,,,Massachusetts,Unknown,Unknown,
"Amedistaff, LLC dba The Right
Solutions",,12/18/2017,,,Massachusetts,Unknown,Unknown,
Dunn & Bradstreet,,12/19/2017,,,Massachusetts,Unknown,Unknown,
"The Board of Pensions of the
Presbyterian Church (USA)",,12/19/2017,,,Massachusetts,Unknown,Unknown,
"Bio-Medical Applications of MA,
Inc.",,12/20/2017,,,Massachusetts,Unknown,Unknown,
"Transocean Offshore Deepwater
Drilling Inc",,12/20/2017,,,Massachusetts,Unknown,Unknown,
Discover,,12/20/2017,,,Massachusetts,Unknown,Unknown,
The Valerie Fund,,12/20/2017,,,Massachusetts,Unknown,Unknown,
Veyna & Forschino,,12/21/2017,,,Massachusetts,Unknown,Unknown,
Celgene,,12/21/2017,,,Massachusetts,Unknown,Unknown,
"Massachusetts Institute of
Technology",,12/21/2017,,,Massachusetts,Unknown,Unknown,
Ameresco Inc.,,12/21/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,12/22/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,12/22/2017,,,Massachusetts,Unknown,Unknown,
Tio Networks,,12/22/2017,,,Massachusetts,Unknown,Unknown,
Medical Teams International,,12/26/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,12/26/2017,,,Massachusetts,Unknown,Unknown,
Bed Bath & Beyond Inc.,,12/26/2017,,,Massachusetts,Unknown,Unknown,
Chubb,,12/26/2017,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,12/26/2017,,,Massachusetts,Unknown,Unknown,
"Guaranteed Rate, Inc.",,12/27/2017,,,Massachusetts,Unknown,Unknown,
Bank of America,,12/27/2017,,,Massachusetts,Unknown,Unknown,
Massachusetts General Hospital,,12/27/2017,,,Massachusetts,Unknown,Unknown,
Citi,,12/27/2017,,,Massachusetts,Unknown,Unknown,
NextGen Global Resources,,12/28/2017,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,12/28/2017,,,Massachusetts,Unknown,Unknown,
Chubb,,12/28/2017,,,Massachusetts,Unknown,Unknown,
The Village Bank,,12/28/2017,,,Massachusetts,Unknown,Unknown,
Forever 21 Inc.,,12/28/2017,,,Massachusetts,Unknown,Unknown,
"Sunshine Lady Humanitarian
Grants Program Inc d/b/a Letters
Foundation",,12/29/2017,,,Massachusetts,Unknown,Unknown,
Salem & Green,,12/29/2017,,,Massachusetts,Unknown,Unknown,
James P. Rinaldi. CPA,,12/29/2017,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,12/29/2017,,,Massachusetts,Unknown,Unknown,
SSM Health,,12/29/2017,,,Massachusetts,Unknown,Unknown,
J.G. Edelen Co.,,12/29/2017,,,Massachusetts,Unknown,Unknown,
"Mid-Atlantic Carpenters Training
Center",,12/29/2017,,,Massachusetts,Unknown,Unknown,
LiveGlam Inc,,1/3/2018,,,Massachusetts,Unknown,Unknown,
Watertown Savings Bank,,1/3/2018,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/3/2018,,,Massachusetts,Unknown,Unknown,
"DJI Technology, Inc.",,1/3/2018,,,Massachusetts,Unknown,Unknown,
Multnomah Athletic Club,,1/3/2018,,,Massachusetts,Unknown,Unknown,
Bank of America,,1/3/2018,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,1/3/2018,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/3/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,1/4/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,1/5/2018,,,Massachusetts,Unknown,Unknown,
The Vanguard Group,,1/5/2018,,,Massachusetts,Unknown,Unknown,
Weinstein & Wisser PC,,1/5/2018,,,Massachusetts,Unknown,Unknown,
"Rea.deeming Beauty, Inc. d/b/a
Beauty Blender",,1/5/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/5/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/5/2018,,,Massachusetts,Unknown,Unknown,
Northeast Arc,,1/5/2018,,,Massachusetts,Unknown,Unknown,
"Sturdy Memorial Associates dba
Norton Medical Center",,1/7/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/8/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/8/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,1/8/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/8/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/8/2018,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,1/8/2018,,,Massachusetts,Unknown,Unknown,
Cetera Advisors LLC,,1/8/2018,,,Massachusetts,Unknown,Unknown,
Intuit Inc.,,1/8/2018,,,Massachusetts,Unknown,Unknown,
Inn on Biltmore Estate,,1/8/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc.",,1/9/2018,,,Massachusetts,Unknown,Unknown,
Spaulding Rehabilation Hospital,,1/9/2018,,,Massachusetts,Unknown,Unknown,
The Vanguard Group Inc.,,1/9/2018,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,1/9/2018,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,1/9/2018,,,Massachusetts,Unknown,Unknown,
Alton Lane,,1/10/2018,,,Massachusetts,Unknown,Unknown,
Trova Design Consultants Inc.,,1/10/2018,,,Massachusetts,Unknown,Unknown,
Talentreef Inc,,1/10/2018,,,Massachusetts,Unknown,Unknown,
"Hudson Structured Capital
Management Ltd",,1/10/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,1/10/2018,,,Massachusetts,Unknown,Unknown,
Broward College,,1/10/2018,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,1/11/2018,,,Massachusetts,Unknown,Unknown,
The Village Bank,,1/11/2018,,,Massachusetts,Unknown,Unknown,
The Village Bank,,1/11/2018,,,Massachusetts,Unknown,Unknown,
The Village Bank,,1/11/2018,,,Massachusetts,Unknown,Unknown,
The Village Bank,,1/11/2018,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,1/11/2018,,,Massachusetts,Unknown,Unknown,
St.Mary's Credit Union,,1/11/2018,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,1/12/2018,,,Massachusetts,Unknown,Unknown,
JP Morgan Chase Bank,,1/12/2018,,,Massachusetts,Unknown,Unknown,
"Guaranteed Rate, Inc.",,1/12/2018,,,Massachusetts,Unknown,Unknown,
"Deli Management, Inc. dba
Jason's Deli Inc.",,1/12/2018,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,1/12/2018,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,1/12/2018,,,Massachusetts,Unknown,Unknown,
Heywood Hospital,,1/15/2018,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Hallmark Home Mortgage,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Monticello Central School District,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Bank of America,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Capital One,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Securadyne Systems LLC,,1/16/2018,,,Massachusetts,Unknown,Unknown,
Bio Scrip,,1/17/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/17/2018,,,Massachusetts,Unknown,Unknown,
Earnest Operations LLC,,1/17/2018,,,Massachusetts,Unknown,Unknown,
The Village Bank,,1/17/2018,,,Massachusetts,Unknown,Unknown,
Fisher College,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Vinfen,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Employer Leasing Company,,1/18/2018,,,Massachusetts,Unknown,Unknown,
"Pension Fund of the Christian
Church",,1/18/2018,,,Massachusetts,Unknown,Unknown,
Steward Medical Group,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
Main Street Bank,,1/18/2018,,,Massachusetts,Unknown,Unknown,
"American Express Travel Related
Services Company Inc",,1/18/2018,,,Massachusetts,Unknown,Unknown,
Citizens Financial Group,,1/19/2018,,,Massachusetts,Unknown,Unknown,
Winchester Savings Bank,,1/19/2018,,,Massachusetts,Unknown,Unknown,
"Westminster Ingleside King Farm
Presbyterian Retirement
Communities, Inc.",,1/19/2018,,,Massachusetts,Unknown,Unknown,
Rosewood Hotel Group,,1/19/2018,,,Massachusetts,Unknown,Unknown,
The Coca-Cola Company,,1/19/2018,,,Massachusetts,Unknown,Unknown,
National Stores Inc.,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Verimatrix Inc,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,1/22/2018,,,Massachusetts,Unknown,Unknown,
CCR Wealth Management LLC,,1/22/2018,,,Massachusetts,Unknown,Unknown,
"American's Test Kitchen Limited
Partnership",,1/22/2018,,,Massachusetts,Unknown,Unknown,
Mindlance Inc.,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Spaulding Rehabilitation Hospital,,1/22/2018,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/23/2018,,,Massachusetts,Unknown,Unknown,
Discover,,1/24/2018,,,Massachusetts,Unknown,Unknown,
